Actual: Is  Lemma: Is
Actual: this  Lemma: this
Actual: the  Lemma: the
Actual: digital  Lemma: digital
Actual: future  Lemma: future
Actual: for  Lemma: for
Actual: Bank  Lemma: Bank
Actual: of  Lemma: of
Actual: England  Lemma: England
Actual: banknotes  Lemma: banknote
Actual: ?  Lemma: ?
Actual: The  Lemma: The
Actual: Bank  Lemma: Bank
Actual: of  Lemma: of
Actual: England  Lemma: England
Actual: is  Lemma: is
Actual: considering  Lemma: considering
Actual: the  Lemma: the
Actual: introduction  Lemma: introduction
Actual: of  Lemma: of
Actual: electronic  Lemma: electronic
Actual: banknotes  Lemma: banknote
Actual: for  Lemma: for
Actual: use  Lemma: use
Actual: by  Lemma: by
Actual: consumers  Lemma: consumer
Actual: and  Lemma: and
Actual: businesses  Lemma: business
Actual: .  Lemma: .
Actual: Governor  Lemma: Governor
Actual: Mark  Lemma: Mark
Actual: Carney  Lemma: Carney
Actual: said  Lemma: said
Actual: :  Lemma: :
Actual: ``  Lemma: ``
Actual: We  Lemma: We
Actual: are  Lemma: are
Actual: in  Lemma: in
Actual: the  Lemma: the
Actual: middle  Lemma: middle
Actual: of  Lemma: of
Actual: a  Lemma: a
Actual: revolution  Lemma: revolution
Actual: in  Lemma: in
Actual: payments  Lemma: payment
Actual: ,  Lemma: ,
Actual: ''  Lemma: ''
Actual: saying  Lemma: saying
Actual: the  Lemma: the
Actual: Bank  Lemma: Bank
Actual: must  Lemma: must
Actual: look  Lemma: look
Actual: into  Lemma: into
Actual: how  Lemma: how
Actual: electronic  Lemma: electronic
Actual: money  Lemma: money
Actual: could  Lemma: could
Actual: work  Lemma: work
Actual: .  Lemma: .
Actual: He  Lemma: He
Actual: said  Lemma: said
Actual: this  Lemma: this
Actual: would  Lemma: would
Actual: complement  Lemma: complement
Actual: ,  Lemma: ,
Actual: not  Lemma: not
Actual: replace  Lemma: replace
Actual: ,  Lemma: ,
Actual: paper  Lemma: paper
Actual: banknotes  Lemma: banknote
Actual: while  Lemma: while
Actual: people  Lemma: people
Actual: still  Lemma: still
Actual: wanted  Lemma: wanted
Actual: physical  Lemma: physical
Actual: cash  Lemma: cash
Actual: .  Lemma: .
Actual: But  Lemma: But
Actual: it  Lemma: it
Actual: could  Lemma: could
Actual: open  Lemma: open
Actual: the  Lemma: the
Actual: door  Lemma: door
Actual: to  Lemma: to
Actual: programmable  Lemma: programmable
Actual: money  Lemma: money
Actual: to  Lemma: to
Actual: integrate  Lemma: integrate
Actual: with  Lemma: with
Actual: home  Lemma: home
Actual: appliances  Lemma: appliance
Actual: or  Lemma: or
Actual: the  Lemma: the
Actual: tax  Lemma: tax
Actual: system  Lemma: system
Actual: .  Lemma: .
Actual: Banknotes  Lemma: Banknotes
Actual: have  Lemma: have
Actual: been  Lemma: been
Actual: the  Lemma: the
Actual: only  Lemma: only
Actual: way  Lemma: way
Actual: for  Lemma: for
Actual: households  Lemma: household
Actual: to  Lemma: to
Actual: make  Lemma: make
Actual: payments  Lemma: payment
Actual: with  Lemma: with
Actual: central  Lemma: central
Actual: bank  Lemma: bank
Actual: money  Lemma: money
Actual: for  Lemma: for
Actual: 300  Lemma: 300
Actual: years  Lemma: year
Actual: ,  Lemma: ,
Actual: a  Lemma: a
Actual: discussion  Lemma: discussion
Actual: paper  Lemma: paper
Actual: published  Lemma: published
Actual: by  Lemma: by
Actual: the  Lemma: the
Actual: Bank  Lemma: Bank
Actual: says  Lemma: say
Actual: .  Lemma: .
Actual: The  Lemma: The
Actual: total  Lemma: total
Actual: value  Lemma: value
Actual: of  Lemma: of
Actual: banknotes  Lemma: banknote
Actual: in  Lemma: in
Actual: the  Lemma: the
Actual: UK  Lemma: UK
Actual: economy  Lemma: economy
Actual: was  Lemma: wa
Actual: close  Lemma: close
Actual: to  Lemma: to
Actual: an  Lemma: an
Actual: all-time  Lemma: all-time
