Actual: Is  Stemm: Is
Actual: this  Stemm: thi
Actual: the  Stemm: the
Actual: digital  Stemm: digit
Actual: future  Stemm: futur
Actual: for  Stemm: for
Actual: Bank  Stemm: bank
Actual: of  Stemm: of
Actual: England  Stemm: england
Actual: banknotes  Stemm: banknot
Actual: ?  Stemm: ?
Actual: The  Stemm: the
Actual: Bank  Stemm: bank
Actual: of  Stemm: of
Actual: England  Stemm: england
Actual: is  Stemm: is
Actual: considering  Stemm: consid
Actual: the  Stemm: the
Actual: introduction  Stemm: introduct
Actual: of  Stemm: of
Actual: electronic  Stemm: electron
Actual: banknotes  Stemm: banknot
Actual: for  Stemm: for
Actual: use  Stemm: use
Actual: by  Stemm: by
Actual: consumers  Stemm: consum
Actual: and  Stemm: and
Actual: businesses  Stemm: busi
Actual: .  Stemm: .
Actual: Governor  Stemm: governor
Actual: Mark  Stemm: mark
Actual: Carney  Stemm: carney
Actual: said  Stemm: said
Actual: :  Stemm: :
Actual: ``  Stemm: ``
Actual: We  Stemm: We
Actual: are  Stemm: are
Actual: in  Stemm: in
Actual: the  Stemm: the
Actual: middle  Stemm: middl
Actual: of  Stemm: of
Actual: a  Stemm: a
Actual: revolution  Stemm: revolut
Actual: in  Stemm: in
Actual: payments  Stemm: payment
Actual: ,  Stemm: ,
Actual: ''  Stemm: ''
Actual: saying  Stemm: say
Actual: the  Stemm: the
Actual: Bank  Stemm: bank
Actual: must  Stemm: must
Actual: look  Stemm: look
Actual: into  Stemm: into
Actual: how  Stemm: how
Actual: electronic  Stemm: electron
Actual: money  Stemm: money
Actual: could  Stemm: could
Actual: work  Stemm: work
Actual: .  Stemm: .
Actual: He  Stemm: He
Actual: said  Stemm: said
Actual: this  Stemm: thi
Actual: would  Stemm: would
Actual: complement  Stemm: complement
Actual: ,  Stemm: ,
Actual: not  Stemm: not
Actual: replace  Stemm: replac
Actual: ,  Stemm: ,
Actual: paper  Stemm: paper
Actual: banknotes  Stemm: banknot
Actual: while  Stemm: while
Actual: people  Stemm: peopl
Actual: still  Stemm: still
Actual: wanted  Stemm: want
Actual: physical  Stemm: physic
Actual: cash  Stemm: cash
Actual: .  Stemm: .
Actual: But  Stemm: but
Actual: it  Stemm: it
Actual: could  Stemm: could
Actual: open  Stemm: open
Actual: the  Stemm: the
Actual: door  Stemm: door
Actual: to  Stemm: to
Actual: programmable  Stemm: programm
Actual: money  Stemm: money
Actual: to  Stemm: to
Actual: integrate  Stemm: integr
Actual: with  Stemm: with
Actual: home  Stemm: home
Actual: appliances  Stemm: applianc
Actual: or  Stemm: or
Actual: the  Stemm: the
Actual: tax  Stemm: tax
Actual: system  Stemm: system
Actual: .  Stemm: .
Actual: Banknotes  Stemm: banknot
Actual: have  Stemm: have
Actual: been  Stemm: been
Actual: the  Stemm: the
Actual: only  Stemm: onli
Actual: way  Stemm: way
Actual: for  Stemm: for
Actual: households  Stemm: household
Actual: to  Stemm: to
Actual: make  Stemm: make
Actual: payments  Stemm: payment
Actual: with  Stemm: with
Actual: central  Stemm: central
Actual: bank  Stemm: bank
Actual: money  Stemm: money
Actual: for  Stemm: for
Actual: 300  Stemm: 300
Actual: years  Stemm: year
Actual: ,  Stemm: ,
Actual: a  Stemm: a
Actual: discussion  Stemm: discuss
Actual: paper  Stemm: paper
Actual: published  Stemm: publish
Actual: by  Stemm: by
Actual: the  Stemm: the
Actual: Bank  Stemm: bank
Actual: says  Stemm: say
Actual: .  Stemm: .
Actual: The  Stemm: the
Actual: total  Stemm: total
Actual: value  Stemm: valu
Actual: of  Stemm: of
Actual: banknotes  Stemm: banknot
Actual: in  Stemm: in
Actual: the  Stemm: the
Actual: UK  Stemm: UK
Actual: economy  Stemm: economi
Actual: was  Stemm: wa
Actual: close  Stemm: close
Actual: to  Stemm: to
Actual: an  Stemm: an
Actual: all-time  Stemm: all-tim
Actual: high  Stemm: high
Actual: ,  Stemm: ,
Actual: but  Stemm: but
Actual: people  Stemm: peopl
Actual: had  Stemm: had
Actual: been  Stemm: been
Actual: making  Stemm: make
Actual: fewer  Stemm: fewer
Actual: payments  Stemm: payment
Actual: in  Stemm: in
Actual: cash  Stemm: cash
Actual: ,  Stemm: ,
Actual: the  Stemm: the
Actual: Bank  Stemm: bank
Actual: said  Stemm: said
Actual: .  Stemm: .
Actual: The  Stemm: the
Actual: governor  Stemm: governor
Actual: said  Stemm: said
Actual: fintech  Stemm: fintech
Actual: firms  Stemm: firm
Actual: had  Stemm: had
Actual: begun  Stemm: begun
Actual: to  Stemm: to
Actual: offer  Stemm: offer
Actual: new  Stemm: new
Actual: forms  Stemm: form
Actual: of  Stemm: of
Actual: money  Stemm: money
Actual: and  Stemm: and
Actual: new  Stemm: new
Actual: ways  Stemm: way
Actual: to  Stemm: to
Actual: pay  Stemm: pay
Actual: with  Stemm: with
Actual: it  Stemm: it
Actual: ,  Stemm: ,
Actual: but  Stemm: but
Actual: it  Stemm: it
Actual: was  Stemm: wa
Actual: important  Stemm: import
Actual: to  Stemm: to
Actual: have  Stemm: have
Actual: currency  Stemm: currenc
Actual: from  Stemm: from
Actual: a  Stemm: a
Actual: trusted  Stemm: trust
Actual: central  Stemm: central
Actual: bank  Stemm: bank
Actual: .  Stemm: .
Actual: So  Stemm: So
Actual: ,  Stemm: ,
Actual: the  Stemm: the
Actual: Bank  Stemm: bank
Actual: is  Stemm: is
Actual: considering  Stemm: consid
Actual: a  Stemm: a
Actual: Central  Stemm: central
Actual: Bank  Stemm: bank
Actual: Digital  Stemm: digit
Actual: Currency  Stemm: currenc
Actual: ,  Stemm: ,
Actual: which  Stemm: which
Actual: would  Stemm: would
Actual: be  Stemm: be
Actual: denominated  Stemm: denomin
Actual: in  Stemm: in
Actual: pounds  Stemm: pound
Actual: sterling  Stemm: sterl
Actual: ,  Stemm: ,
Actual: just  Stemm: just
Actual: like  Stemm: like
Actual: banknotes  Stemm: banknot
Actual: .  Stemm: .
Actual: So  Stemm: So
Actual: £10  Stemm: £10
Actual: of  Stemm: of
Actual: the  Stemm: the
Actual: digital  Stemm: digit
Actual: currency  Stemm: currenc
Actual: would  Stemm: would
Actual: always  Stemm: alway
Actual: be  Stemm: be
Actual: worth  Stemm: worth
Actual: the  Stemm: the
Actual: same  Stemm: same
Actual: as  Stemm: as
Actual: a  Stemm: a
Actual: £10  Stemm: £10
Actual: note  Stemm: note
Actual: .  Stemm: .
Actual: This  Stemm: thi
Actual: system  Stemm: system
Actual: would  Stemm: would
Actual: be  Stemm: be
Actual: different  Stemm: differ
Actual: from  Stemm: from
Actual: money  Stemm: money
Actual: held  Stemm: held
Actual: digitally  Stemm: digit
Actual: in  Stemm: in
Actual: a  Stemm: a
Actual: bank  Stemm: bank
Actual: account  Stemm: account
Actual: ,  Stemm: ,
Actual: or  Stemm: or
Actual: cryptocurrencies  Stemm: cryptocurr
Actual: .  Stemm: .
Actual: It  Stemm: It
Actual: would  Stemm: would
Actual: be  Stemm: be
Actual: guaranteed  Stemm: guarante
Actual: by  Stemm: by
Actual: the  Stemm: the
Actual: Bank  Stemm: bank
Actual: ,  Stemm: ,
Actual: rather  Stemm: rather
Actual: than  Stemm: than
Actual: a  Stemm: a
Actual: commercial  Stemm: commerci
Actual: business  Stemm: busi
Actual: .  Stemm: .
Actual: The  Stemm: the
Actual: idea  Stemm: idea
Actual: also  Stemm: also
Actual: suggests  Stemm: suggest
Actual: that  Stemm: that
Actual: consumers  Stemm: consum
Actual: would  Stemm: would
Actual: be  Stemm: be
Actual: able  Stemm: abl
Actual: to  Stemm: to
Actual: pay  Stemm: pay
Actual: for  Stemm: for
Actual: things  Stemm: thing
Actual: without  Stemm: without
Actual: all  Stemm: all
Actual: the  Stemm: the
Actual: data  Stemm: data
Actual: about  Stemm: about
Actual: their  Stemm: their
Actual: transactions  Stemm: transact
Actual: going  Stemm: go
Actual: to  Stemm: to
Actual: their  Stemm: their
Actual: bank  Stemm: bank
Actual: .  Stemm: .
Actual: There  Stemm: there
Actual: would  Stemm: would
Actual: be  Stemm: be
Actual: some  Stemm: some
Actual: anonymity  Stemm: anonym
Actual: ,  Stemm: ,
Actual: as  Stemm: as
Actual: there  Stemm: there
Actual: is  Stemm: is
Actual: with  Stemm: with
Actual: cash  Stemm: cash
Actual: .  Stemm: .
Actual: Loading  Stemm: load
Actual: Central  Stemm: central
Actual: Bank  Stemm: bank
Actual: Digital  Stemm: digit
Actual: Currency  Stemm: currenc
Actual: would  Stemm: would
Actual: be  Stemm: be
Actual: an  Stemm: an
Actual: electronic  Stemm: electron
Actual: version  Stemm: version
Actual: of  Stemm: of
Actual: withdrawing  Stemm: withdraw
Actual: banknotes  Stemm: banknot
Actual: from  Stemm: from
Actual: an  Stemm: an
Actual: ATM  Stemm: atm
Actual: .  Stemm: .
Actual: The  Stemm: the
Actual: Bank  Stemm: bank
Actual: stressed  Stemm: stress
Actual: this  Stemm: thi
Actual: would  Stemm: would
Actual: not  Stemm: not
Actual: replace  Stemm: replac
Actual: cash  Stemm: cash
Actual: ,  Stemm: ,
Actual: particularly  Stemm: particularli
Actual: for  Stemm: for
Actual: those  Stemm: those
Actual: who  Stemm: who
Actual: prefer  Stemm: prefer
Actual: to  Stemm: to
Actual: use  Stemm: use
Actual: it  Stemm: it
Actual: .  Stemm: .
Actual: ``  Stemm: ``
Actual: As  Stemm: As
Actual: long  Stemm: long
Actual: as  Stemm: as
Actual: demand  Stemm: demand
Actual: for  Stemm: for
Actual: cash  Stemm: cash
Actual: remains  Stemm: remain
Actual: ,  Stemm: ,
Actual: the  Stemm: the
Actual: Bank  Stemm: bank
Actual: is  Stemm: is
Actual: committed  Stemm: commit
Actual: to  Stemm: to
Actual: meeting  Stemm: meet
Actual: this  Stemm: thi
Actual: demand  Stemm: demand
Actual: ,  Stemm: ,
Actual: ''  Stemm: ''
Actual: the  Stemm: the
Actual: Bank  Stemm: bank
Actual: 's  Stemm: 's
Actual: discussion  Stemm: discuss
Actual: paper  Stemm: paper
Actual: says  Stemm: say
Actual: .  Stemm: .
Actual: The  Stemm: the
Actual: currency  Stemm: currenc
Actual: would  Stemm: would
Actual: also  Stemm: also
Actual: be  Stemm: be
Actual: separate  Stemm: separ
Actual: from  Stemm: from
Actual: card  Stemm: card
Actual: payments  Stemm: payment
Actual: ,  Stemm: ,
Actual: meaning  Stemm: mean
Actual: it  Stemm: it
Actual: would  Stemm: would
Actual: not  Stemm: not
Actual: be  Stemm: be
Actual: affected  Stemm: affect
Actual: by  Stemm: by
Actual: technical  Stemm: technic
Actual: failures  Stemm: failur
Actual: at  Stemm: at
Actual: Visa  Stemm: visa
Actual: ,  Stemm: ,
Actual: Mastercard  Stemm: mastercard
Actual: ,  Stemm: ,
Actual: or  Stemm: or
Actual: other  Stemm: other
Actual: payment  Stemm: payment
Actual: networks  Stemm: network
Actual: .  Stemm: .
Actual: Payments  Stemm: payment
Actual: of  Stemm: of
Actual: the  Stemm: the
Actual: future  Stemm: futur
Actual: The  Stemm: the
Actual: introduction  Stemm: introduct
Actual: of  Stemm: of
Actual: a  Stemm: a
Actual: digital  Stemm: digit
Actual: currency  Stemm: currenc
Actual: could  Stemm: could
Actual: lead  Stemm: lead
Actual: to  Stemm: to
Actual: ``  Stemm: ``
Actual: programmable  Stemm: programm
Actual: money  Stemm: money
Actual: ''  Stemm: ''
Actual: ,  Stemm: ,
Actual: when  Stemm: when
Actual: payments  Stemm: payment
Actual: could  Stemm: could
Actual: be  Stemm: be
Actual: integrated  Stemm: integr
Actual: with  Stemm: with
Actual: appliances  Stemm: applianc
Actual: at  Stemm: at
Actual: home  Stemm: home
Actual: or  Stemm: or
Actual: tills  Stemm: till
Actual: at  Stemm: at
Actual: the  Stemm: the
Actual: shops  Stemm: shop
Actual: .  Stemm: .
Actual: Tax  Stemm: tax
Actual: payments  Stemm: payment
Actual: could  Stemm: could
Actual: be  Stemm: be
Actual: routed  Stemm: rout
Actual: to  Stemm: to
Actual: HM  Stemm: HM
Actual: Revenue  Stemm: revenu
Actual: and  Stemm: and
Actual: Customs  Stemm: custom
Actual: at  Stemm: at
Actual: the  Stemm: the
Actual: point  Stemm: point
Actual: of  Stemm: of
Actual: sale  Stemm: sale
Actual: ,  Stemm: ,
Actual: the  Stemm: the
